surrogate,attack,target,num_samples,clean_accuracy,adversarial_accuracy,attack_success_rate,mean_linf_perturbation,max_linf_perturbation,reported_clean_acc,reported_robust_acc,delta_vs_reported,generation_time_s
cifar10_repvgg_a2,VMIFGSM,Chen2020Adversarial,10000,86.04,83.42,3.14,0.031373,0.031373,86.04,51.56,31.86,551.6
cifar10_repvgg_a2,DIFGSM,Andriushchenko2020Understanding,10000,79.84,77.95,2.57,0.031373,0.031373,79.84,43.93,34.02,92.0
cifar10_repvgg_a2,DIFGSM,Ding2020MMA,10000,84.36,81.84,3.15,0.031373,0.031373,84.36,41.44,40.4,92.0
cifar10_repvgg_a2,DIFGSM,Chen2020Adversarial,10000,86.04,83.68,2.85,0.031373,0.031373,86.04,51.56,32.12,92.0
cifar10_repvgg_a2,TIFGSM,Andriushchenko2020Understanding,10000,79.84,77.94,2.96,0.031373,0.031373,79.84,43.93,34.01,92.0
cifar10_repvgg_a2,TIFGSM,Ding2020MMA,10000,84.36,81.9,3.58,0.031373,0.031373,84.36,41.44,40.46,92.0
cifar10_repvgg_a2,TIFGSM,Chen2020Adversarial,10000,86.04,83.67,3.03,0.031373,0.031373,86.04,51.56,32.11,92.0
Ensemble,Admix,Andriushchenko2020Understanding,10000,79.84,77.12,3.69,0.031373,0.031373,79.84,43.93,33.19,4312.3
Ensemble,Admix,Ding2020MMA,10000,84.36,81.33,3.85,0.031373,0.031373,84.36,41.44,39.89,4312.3
Ensemble,Admix,Chen2020Adversarial,10000,86.04,83.13,3.52,0.031373,0.031373,86.04,51.56,31.57,4312.3
Ensemble,VMIFGSM,Andriushchenko2020Understanding,10000,79.84,76.64,4.13,0.031373,0.031373,79.84,43.93,32.71,2460.7
Ensemble,VMIFGSM,Ding2020MMA,10000,84.36,80.78,4.35,0.031373,0.031373,84.36,41.44,39.34,2460.7
Ensemble,VMIFGSM,Chen2020Adversarial,10000,86.04,82.42,4.29,0.031373,0.031373,86.04,51.56,30.86,2460.7
Ensemble,DIFGSM,Andriushchenko2020Understanding,10000,79.84,76.88,3.86,0.031373,0.031373,79.84,43.93,32.95,410.1
Ensemble,DIFGSM,Ding2020MMA,10000,84.36,81.12,3.97,0.031373,0.031373,84.36,41.44,39.68,410.1
Ensemble,DIFGSM,Chen2020Adversarial,10000,86.04,82.6,4.11,0.031373,0.031373,86.04,51.56,31.04,410.1
Ensemble,TIFGSM,Andriushchenko2020Understanding,10000,79.84,76.73,4.18,0.031373,0.031373,79.84,43.93,32.8,410.7
Ensemble,TIFGSM,Ding2020MMA,10000,84.36,80.69,4.85,0.031373,0.031373,84.36,41.44,39.25,410.7
Ensemble,TIFGSM,Chen2020Adversarial,10000,86.04,82.67,4.16,0.031373,0.031373,86.04,51.56,31.11,410.7
